Company,Sector,Hardware+Software,Capital Efficiency,Data Markets,Total Score,Strategic Archetype,Key Insight
Fervo Energy,Energy,2.5,2,1,5.5,Infrastructure + Ops Tech,"Traditional geothermal infrastructure with modern monitoring. Proven tech applied to massive climate problem."
Watershed,Software,0.5,3,3,6.5,Climate Data SaaS,"Pure SaaS play on corporate carbon accounting. Regulatory tailwinds create mandatory demand."
Alcemy,Industry,2,2.5,1.5,6,Industrial Software,"AI optimization for cement production. Software-centric model for hard-to-abate sector."
Arable,Agriculture,3,2,2.5,7.5,Hardware-Enabled Data,"Textbook atoms+bits model. IoT sensors + data platform for climate-smart agriculture."
Regrow,Agriculture,0,3,3,6,Ag Data Platform,"Pure SaaS MRV platform for regenerative agriculture. Unlocks carbon credit markets."
Plotlogic,Mining,3,2,2,7,Hardware-Enabled Data,"Ore sensing hardware + AI software. Enables sustainable critical mineral extraction."
Pulsora,Software,0,3,3,6,Climate Data SaaS,"Enterprise ESG data management platform. Addresses regulatory compliance needs."
The Routing Company,Transportation,2,3,2,7,Transit Optimization SaaS,"Software for public transit routing. Capital-light model optimizing existing fleets."
Worldly,Software,0,3,3,6,Supply Chain Data,"SaaS for supply chain sustainability data. Network effects in apparel/consumer goods."
Zhero,Energy,1,2,1,4,Clean Energy Infrastructure,"Large-scale solar/storage developer. Traditional infrastructure play with platform approach."
